# 출처: 국토교통부 실거래가 공개시스템(rt.molit.go.kr) 아파트 전월세 실거래 2026.03~05 전국, 원본 238,658건 집계
# 시도·시군구·전월세·전용면적대별 보증금/월세 중위값. 면적대 평은 전용면적 ㎡ 환산.
시도,시군구,전월세,전용면적대,거래건수,보증금중위(만원),월세중위(만원),건축년도중위
경기도,고양시 일산서구,월세,135㎡이상(40평~),31,5000,200,2011
경기도,고양시 일산서구,월세,40~60㎡(12~18평),283,2000,75,1995
경기도,고양시 일산서구,월세,40㎡미만(~12평),20,750,45,1999
경기도,고양시 일산서구,월세,60~85㎡(18~26평),213,4000,110,1996
경기도,고양시 일산서구,월세,85~135㎡(26~40평),99,5000,160,2003
경기도,고양시 일산서구,전세,135㎡이상(40평~),33,55000,0,2011
경기도,고양시 일산서구,전세,40~60㎡(12~18평),418,21000,0,1995
경기도,고양시 일산서구,전세,40㎡미만(~12평),9,13000,0,1999
경기도,고양시 일산서구,전세,60~85㎡(18~26평),485,29000,0,1995
경기도,고양시 일산서구,전세,85~135㎡(26~40평),245,44800,0,1997
경기도,과천시,월세,135㎡이상(40평~),1,100000,165,2022
경기도,과천시,월세,40~60㎡(12~18평),125,29620,39,2024
경기도,과천시,월세,40㎡미만(~12평),38,6398,20,2024
경기도,과천시,월세,60~85㎡(18~26평),62,51750,162,2020
경기도,과천시,월세,85~135㎡(26~40평),31,70000,180,2020
경기도,과천시,전세,135㎡이상(40평~),3,157000,0,2020
경기도,과천시,전세,40~60㎡(12~18평),99,85500,0,2020
경기도,과천시,전세,40㎡미만(~12평),1,4425,0,2024
경기도,과천시,전세,60~85㎡(18~26평),125,88000,0,2020
경기도,과천시,전세,85~135㎡(26~40평),47,115000,0,2020
경기도,광명시,월세,135㎡이상(40평~),1,85000,16,2010
경기도,광명시,월세,40~60㎡(12~18평),344,5000,80,1990
경기도,광명시,월세,40㎡미만(~12평),83,1000,65,1990
경기도,광명시,월세,60~85㎡(18~26평),182,14000,120,2009
경기도,광명시,월세,85~135㎡(26~40평),42,20000,160,2010
경기도,광명시,전세,135㎡이상(40평~),5,67000,0,2015
경기도,광명시,전세,40~60㎡(12~18평),639,29000,0,1990
경기도,광명시,전세,40㎡미만(~12평),101,19000,0,1990
경기도,광명시,전세,60~85㎡(18~26평),368,50000,0,2009
경기도,광명시,전세,85~135㎡(26~40평),88,69000,0,2010
경기도,광주시,월세,135㎡이상(40평~),6,7500,160,2002
경기도,광주시,월세,40~60㎡(12~18평),94,5000,75,2019
경기도,광주시,월세,40㎡미만(~12평),57,3000,22,2021
경기도,광주시,월세,60~85㎡(18~26평),272,5000,120,2017
경기도,광주시,월세,85~135㎡(26~40평),28,5000,125,2005
경기도,광주시,전세,135㎡이상(40평~),16,50000,0,2002
경기도,광주시,전세,40~60㎡(12~18평),116,28025,0,2016
경기도,광주시,전세,40㎡미만(~12평),4,12250,0,2001
경기도,광주시,전세,60~85㎡(18~26평),688,32550,0,2017
경기도,광주시,전세,85~135㎡(26~40평),60,35000,0,2002
경기도,구리시,월세,135㎡이상(40평~),3,20000,240,2001
경기도,구리시,월세,40~60㎡(12~18평),187,10000,90,1996
경기도,구리시,월세,40㎡미만(~12평),77,2000,50,2016
경기도,구리시,월세,60~85㎡(18~26평),132,17000,100,2002
경기도,구리시,월세,85~135㎡(26~40평),18,28500,115,1996
경기도,구리시,전세,40~60㎡(12~18평),332,35000,0,1996
경기도,구리시,전세,40㎡미만(~12평),52,20080,0,1997
경기도,구리시,전세,60~85㎡(18~26평),386,45000,0,2001
경기도,구리시,전세,85~135㎡(26~40평),75,60000,0,1996
경기도,군포시,월세,135㎡이상(40평~),2,17500,135,1998
경기도,군포시,월세,40~60㎡(12~18평),297,3000,75,1993
경기도,군포시,월세,40㎡미만(~12평),70,2477,37,1996
경기도,군포시,월세,60~85㎡(18~26평),67,10000,100,2005
경기도,군포시,월세,85~135㎡(26~40평),38,10000,140,1993
경기도,군포시,전세,135㎡이상(40평~),12,55000,0,1994
